Episode_reward,episode
-132.54272433386436,531
-456.4901684756131,532
-129.3366896838395,533
-270.47630535374753,534
-390.3088512357022,535
-281.02620788897144,536
-132.89269953948607,537
-393.0647201624002,538
-258.92109065066575,539
-410.4206335127937,540
-131.57547229048726,541
-131.56327221156914,542
-268.11553352451983,543
-131.67056955537782,544
-749.9462559889108,545
-132.20753981710862,546
-292.8537038715889,547
-380.05751010362917,548
-130.03996133883592,549
-128.45062327971803,550
-130.526224153602,551
-1.0231352140755114,552
-250.10961630919223,553
-405.4763269431142,554
-401.95020141073957,555
-133.09880822529374,556
-324.05008018357483,557
-941.2818263786694,558
-246.40594531279277,559
-125.2998799402015,560
-272.4818009764135,561
-960.3997627433577,562
-134.65460409721254,563
-124.56823270745079,564
-1.124726873996279,565
-131.59965718764838,566
-370.94146604689746,567
-662.9994903141712,568
-1.3445306641329808,569
-269.3180595354585,570
-318.31927787287253,571
-132.51219852985957,572
-130.9614660811535,573
-126.56227444508643,574
-408.4003489733563,575
-408.94142143793306,576
-384.43851232055715,577
-1.508522255308678,578
-281.32113219154826,579
-273.63815386032684,580
-1.1127182500268686,581
-130.9937721719571,582
-384.4660400346215,583
-133.17450798020883,584
-0.8380412523200846,585
-129.60752421883006,586
-2.965755327698331,587
-127.41307150661144,588
-129.1439589815816,589
-278.00265016077816,590
-130.79036283081433,591
-0.8082693563482567,592
-270.0810070446028,593
-129.7888608255029,594
-133.41426633254,595
-275.90740486217214,596
-130.45497775191708,597
-264.526821885127,598
-262.44742223034166,599
-132.8136271364434,600
-129.1296158272721,601
-129.59003408143073,602
-0.7752317939001201,603
-442.62893536199675,604
-260.01888100585677,605
-128.85564276280897,606
-2.0900013290340924,607
-378.547545811925,608
-0.45818804024405085,609
-1.0427798030484328,610
-131.14052170564514,611
-131.0404965686141,612
-127.41910769556478,613
-289.0971815413776,614
-307.0791071137063,615
-137.77679722837084,616
-300.30632660038896,617
-252.7329259241285,618
-267.46033876325237,619
-128.3586525759139,620
-1.0066521250498044,621
-1.099981281258873,622
-135.5629644873091,623
-131.41428592344133,624
-269.7473321652102,625
-126.29426151982169,626
-0.20491643914740534,627
-287.3241431616045,628
-261.84258758840065,629
-430.62183648619424,630
-377.82881130032905,631
-131.67625168686934,632
-130.42295892662074,633
-128.69320934103726,634
-261.16949289836685,635
-424.9102414171337,636
-128.14010277388067,637
-131.87650704206425,638
-1.5059015557737219,639
-128.07212356043266,640
-266.8406437015608,641
-383.66185663655807,642
-130.88187567904524,643
-261.69653263903524,644
-266.34886911279074,645
-264.50521677454736,646
-128.0223013013965,647
-394.60245443239273,648
-131.36040823277818,649
-130.57095870503105,650
-0.23693405918708585,651
-433.94029691817644,652
-0.05798460458972421,653
-1.32311592011254,654
-265.12372357068637,655
-127.20326134213363,656
-127.70693435614356,657
-0.5383526683091888,658
-314.0993106550805,659
-129.0754615721328,660
-131.3440461957394,661
-267.8609514121298,662
-127.2252629500192,663
-782.0185158873359,664
-132.73194440056224,665
-472.61491079730166,666
-0.5681079544814104,667
-0.7525942307751928,668
-129.78856116167506,669
-258.7399151358298,670
-261.35697450429484,671
-0.09969538543128705,672
-128.92855577564433,673
-130.9883985880059,674
-129.3127318681393,675
-135.34002847472516,676
-130.47067884103015,677
-256.35679754772434,678
-130.48491831442837,679
-131.88397892631497,680
-130.6919272898225,681
-3.51628905538713,682
-126.92262328518643,683
-438.1725198302756,684
-282.9683176239621,685
-281.4174175718277,686
-388.6991929258608,687
-2.259261642301432,688
-905.7166686013921,689
-255.14629295843554,690
-123.31121969399854,691
-124.83108288347827,692
-128.4830824684178,693
-269.24868604129995,694
-404.17449365983884,695
-1081.3754450600861,696
-130.3135477885459,697
-922.9155544307238,698
-131.3127034561507,699
-3.5876478243828354,700
-263.40186920941113,701
-478.13746813609384,702
-250.24834350506987,703
-131.4551655252192,704
-1086.0208089295388,705
-379.4303433144596,706
-1133.9462847272978,707
-1203.615119418819,708
-1178.0355063968727,709
-131.70012170695864,710
-132.73079904403303,711
-126.91413454423446,712
-0.04255804803516021,713
-131.88345032848696,714
-1.6908764548556243,715
-1173.8472835652422,716
-130.3943619026555,717
-134.2791045851467,718
-387.5557550695827,719
-0.5567651226787648,720
-274.4160741881581,721
-265.915300458194,722
-356.55139261823297,723
-123.03461965027455,724
-266.4792008585232,725
-1202.7035577540319,726
-266.30961317292116,727
-1104.4029141281846,728
-129.06300969511244,729
-1096.2911548626391,730
-264.851079856607,731
-1181.5393527564322,732
-3.654189476382843,733
-303.6976661927392,734
-132.12107596759802,735
-131.9250892442401,736
-270.7562628830797,737
-2.690915122388185,738
-1088.3889010176765,739
-133.23651541997253,740
-2.889429499730143,741
-1123.5532070254262,742
-309.0093106627237,743
-258.55008137880515,744
-1153.6138570434093,745
-1110.4133701707415,746
-333.15813355747514,747
-136.0353128231204,748
-1126.4536346174525,749
-999.0250732655518,750
-9.140735241098838,751
-137.81412142137435,752
-134.17916606104674,753
-260.78422100227925,754
-1102.9150558338663,755
-1092.4080672035927,756
-132.83656039154593,757
-136.23781948044964,758
-412.13091844079605,759
-255.7938298942125,760
-1116.3353458779018,761
-288.64394129376655,762
-133.2895396636901,763
-272.2162380167979,764
-129.47540884308205,765
-136.7935699011869,766
-1095.4190603302525,767
-5.03387850443279,768
-273.1973711475142,769
-1063.7067161956859,770
-397.93003935124113,771
-5.6960426519009975,772
-136.0395744703336,773
-132.05325721070932,774
-7.66858855602384,775
-1180.8639695588965,776
-10.10376234972853,777
-131.2648362858944,778
-265.98120746422927,779
-4.515961398550995,780
-269.6686707341921,781
-1072.9772011659707,782
-255.7002583482052,783
-276.12515488805883,784
-5.3992273969413205,785
-394.0040863771805,786
-252.8098589821395,787
-298.8156858293448,788
-259.49054943443673,789
-131.8624551053748,790
-134.58918256967218,791
-4.480344721787044,792
-276.990020174181,793
-127.83941177131827,794
-1058.547271414725,795
-6.384070511268124,796
-4.063058426614309,797
-131.40613289906966,798
-384.9437571918901,799
-265.8011210098687,800
-387.2251561450778,801
-131.73910027444754,802
-258.7766355879836,803
-131.69479971508574,804
-441.44504953416845,805
-271.8490314758892,806
-8.194349601906648,807
-129.2797289436157,808
-426.8703919091574,809
-259.5002920384034,810
-130.81236154474888,811
-128.61990614726906,812
-133.76488529838446,813
-134.6812742953968,814
-291.0891497661674,815
-387.5499384209569,816
-389.3477837178997,817
-274.5928964309988,818
-269.78914510916195,819
-359.9093856266961,820
-134.58532892959084,821
-5.546399310698313,822
-128.67536501786955,823
-381.8971847668165,824
-272.1623466516663,825
-276.51515148178277,826
-4.638946421798701,827
-416.38515236358086,828
-135.85545502890096,829
-268.47613294771736,830
-475.8096674474275,831
-416.86735005237165,832
-2.8908309481199663,833
-134.12099077247595,834
-3.2591793206950213,835
-136.712066651335,836
-269.92521208632616,837
-4.292612229859982,838
-310.0431269510179,839
-133.76510542833927,840
-133.03887035200253,841
-266.78829412790753,842
-132.94675990154516,843
-268.4806113509835,844
-133.25465814991787,845
-3.2578734958959745,846
-268.7982747796157,847
-382.2689688134644,848
-276.8215889075903,849
-134.8297846334945,850
-272.4051750055764,851
-3.0994043613618483,852
-257.74542499363486,853
-136.70117264406105,854
-5.927344126736666,855
-386.48042976630325,856
-269.2158866432635,857
-462.58870921168096,858
-131.70116780222796,859
-388.37808714189543,860
-131.66718040184844,861
-133.390187975207,862
-2.546677168281118,863
-130.2353523518926,864
-404.6752078259321,865
-134.4221125747506,866
-132.5784358626518,867
-278.0465708988738,868
-266.1954702893785,869
-136.6783306387619,870
-459.4578832004511,871
-126.31254028625452,872
-264.2888255788324,873
-398.3964860782316,874
-271.44670056156684,875
-391.62175214688847,876
-133.78249426888257,877
-131.02046606534753,878
-282.7301849197012,879
-664.4094110555355,880
-266.7922140376474,881
-272.03118650071815,882
-3.2383541369414575,883
-400.473906069943,884
-271.9514887901532,885
-130.7241539787133,886
-132.75943831123078,887
-295.85006812002376,888
-264.5708665183664,889
-606.2960639148018,890
-267.70656572577616,891
-268.7317800284326,892
-382.01770286057143,893
-269.5697197666444,894
-387.47448195470463,895
-131.36531631971928,896
-128.72438324393363,897
-2.3909132272115077,898
-3.4280611696906336,899
-578.6839695365671,900
-136.28294537913303,901
-397.82938952608407,902
